dataset_pos,name_raw,name_clean
1,start_date,start_date
2,end_date,end_date
3,status,status
4,progress,progress
5,duration_in_seconds,duration_in_seconds
6,finished,finished
7,recorded_date,recorded_date
8,response_id,response_id
9,distribution_channel,distribution_channel
10,user_language,user_language
11,q1_1,g_Zeiler
12,q1_4,g_Vazire
13,q1_5,g_Phillips
14,q1_6,g_Page
15,q1_7,g_Lagisz
16,q1_8,g_Holcombe
17,q1_9,g_Hamilton
18,q1_10,g_Fidler
19,q1_11,g_Byrne
20,q1_12,g_Bush
21,q1_13,g_Barnett
22,q1_14,g_Contarino
